"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,1,0,0,0,0,0,1,0,1
0,2,0,1,1,1,1,2,2,3
0,0,0,1,0,0,0,9,0,6
2,8,1,4,7,1,4,15,4,26
0,2,0,1,0,0,1,11,0,8
0,6,0,2,3,0,0,20,3,26
1,6,1,4,4,1,2,15,5,26
0,4,0,2,2,0,1,10,2,13
0,3,0,1,3,0,0,12,0,10
0,6,1,1,2,0,0,9,2,12
0,3,0,2,3,1,1,11,1,11
5,16,3,12,8,1,3,18,11,27
1,15,0,3,7,0,1,26,5,46
3,20,0,6,7,1,2,26,8,44
2,13,1,3,7,1,1,29,3,43
1,2,0,2,0,0,0,12,2,13
3,14,3,8,8,3,1,30,11,35
0,8,0,3,4,2,1,18,3,28
3,8,1,5,4,3,0,19,9,27
1,5,2,4,3,0,1,21,4,24
3,12,0,7,9,3,6,30,10,44
2,9,2,6,9,3,2,29,10,36
2,4,1,2,4,2,2,21,5,28
3,3,3,4,3,3,1,26,8,24
2,11,3,5,8,1,1,25,7,39
0,3,0,2,1,0,1,6,2,5
0,0,0,1,0,0,0,5,0,2
0,7,1,3,6,2,2,20,4,23
1,11,3,6,3,4,2,18,9,29
2,7,2,4,2,2,0,20,6,33
3,10,2,7,5,2,2,20,7,20
5,3,4,6,3,1,1,26,6,24
2,9,1,4,7,1,0,25,3,33
2,6,1,4,5,1,2,21,6,32
3,5,1,4,5,0,1,15,5,27
0,5,0,1,3,0,0,18,1,20
2,9,0,7,5,2,1,28,8,39
1,6,0,3,6,0,2,26,3,39
0,6,0,2,6,0,3,18,0,26
2,5,1,3,4,3,2,16,4,20
3,7,3,5,5,3,2,20,8,33
0,6,0,3,7,1,1,29,1,34
0,8,1,1,8,0,1,19,0,27
6,8,3,10,6,3,2,25,12,27
2,7,0,4,1,2,0,15,3,22
2,3,1,4,5,2,1,23,7,28
3,8,2,5,5,3,1,26,9,34
3,3,1,5,4,3,2,16,7,14
1,7,0,1,5,0,2,23,2,26
2,8,2,5,8,3,4,26,10,30
0,3,0,1,4,2,0,25,4,27
0,1,0,0,0,1,0,1,1,2
