"word","freq"
"per",389
"cent",332
"countries",314
"data",186
"pandemic",167
"global",162
"covid",152
"asia",136
"sustainable",123
"million",117
"africa",114
"people",113
"development",108
"world",102
"health",98
"women",97
"america",93
"new",85
"northern",85
"progress",84
"national",79
"economic",76
"rate",68
"water",66
"children",66
"crisis",66
"developing",64
"one",64
"regions",64
"report",63
"number",62
"energy",60
"access",60
"social",60
"population",60
"billion",59
"subsaharan",59
"percentage",59
"united",57
"services",57
"goal",55
"international",55
"goals",54
"increased",54
"central",51
"poverty",50
"statistical",50
"due",50
"zealand",49
"areas",48
"nations",48
"europe",48
"systems",47
"since",47
"australia",47
"average",46
"support",46
"southern",46
"proportion",45
"will",44
"share",44
"latin",44
"climate",42
"developed",42
"caribbean",42
"income",40
"food",40
"half",40
"eastern",40
"however",40
"human",39
"increase",39
"least",39
"around",38
"country",38
"western",38
"note",37
"risk",37
"still",37
"two",37
"deaths",37
"levels",36
"years",36
"among",36
"public",36
"categories",36
"growth",35
"compared",35
"southeastern",35
"child",34
"protection",34
"basic",34
"information",34
"use",33
"available",33
"worldwide",32
"year",32
"lack",32
"species",32
"efforts",31
"even",31
"age",31
"implementation",31
"need",31
"high",31
"target",31
"color",31
"legend",31
"electricity",30
"recovery",30
"resources",30
"measures",30
"globally",30
"oceania",30
"reported",30
"men",30
"forest",30
"urban",30
"education",29
"coverage",29
"impact",29
"within",29
"three",29
"almost",29
"can",28
"response",28
"states",28
"consumption",27
"made",27
"policies",27
"rights",27
"labour",27
"renewable",27
"gender",26
"ensure",26
"essential",26
"governments",26
"level",26
"sdgs",26
"workers",26
"statistics",26
"ldcs",26
"area",26
"action",25
"cities",25
"across",25
"without",25
"management",25
"likely",25
"school",25
"worlds",25
"spacing",25
"text",25
"excluding",25
"infrastructure",24
"emissions",24
"time",24
"biodiversity",24
"needed",24
"low",24
"bars",24
"production",23
"work",23
"additional",23
"back",23
"care",23
"challenges",23
"sdg",23
"affected",23
"sanitation",22
"critical",22
"financial",22
"first",22
"towards",22
"training",22
"transport",22
"gdp",22
"achieve",21
"impacts",21
"inequality",21
"despite",21
"sector",21
"small",21
"vulnerable",21
"less",21
"indicators",21
"key",21
"line",21
