"word","freq"
"climate",18545
"global",10269
"changes",7471
"confidence",7144
"cmip",7031
"warming",6823
"models",6283
"precipitation",5934
"model",5877
"ocean",5746
"temperature",5721
"ipcc",4989
"ubc",4781
"data",4776
"high",4771
"increase",4449
"surface",4442
"wgi",4402
"distribution",4233
"regional",4220
"variability",4166
"section",4120
"mean",4088
"government",4058
"final",4054
"pages",4008
"ice",3961
"atmospheric",3887
"cite",3870
"distribute",3869
"quote",3866
"emissions",3858
"journal",3617
"sea",3604
"ssp",3593
"research",3579
"land",3538
"trends",3497
"regions",3285
"carbon",2997
"projections",2931
"observed",2888
"future",2867
"simulations",2822
"since",2804
"water",2793
"box",2767
"atlas",2738
"forcing",2706
"dois",2692
"projected",2664
"likely",2660
"assessment",2658
"response",2656
"extremes",2545
"low",2530
"evidence",2527
"level",2517
"nature",2471
"compared",2469
"medium",2451
"north",2397
"frequency",2392
"based",2390
"geophysical",2340
"can",2321
"will",2273
"century",2247
"period",2245
"system",2211
"america",2209
"events",2166
"recent",2154
"intensity",2154
"see",2135
"earth",2127
"letters",2112
"range",2099
"past",2089
"time",2069
"anthropogenic",2067
"science",2012
"extreme",2006
"historical",2001
"used",1997
"due",1996
"observations",1969
"tropical",1952
"annual",1946
"using",1908
"scenarios",1896
"assessed",1862
"southern",1853
"relative",1835
"new",1797
"uuu",1762
"studies",1746
"increased",1745
"heat",1725
"ensemble",1718
"arctic",1712
"atlantic",1712
"uncertainty",1692
"different",1677
"south",1674
"years",1651
"drought",1646
"united",1645
"year",1626
"dataset",1613
"air",1608
"doigl",1606
"pacific",1604
"available",1598
"region",1589
"decrease",1575
"circulation",1568
"rainfall",1559
"northern",1533
"report",1522
"ubuaucuc",1510
"dynamics",1499
"large",1495
"monsoon",1468
"estimates",1465
"rcp",1464
"increases",1458
"show",1447
"doijclid",1445
"radiative",1443
"summer",1442
"across",1435
"associated",1421
"input",1419
"influence",1401
"information",1394
"asia",1392
"areas",1387
"snow",1379
"cycle",1375
"aerosol",1375
"processes",1361
"end",1359
"les",1354
"human",1348
"africa",1343
"central",1316
"levels",1306
"sources",1305
"per",1303
"last",1293
"effects",1290
"impacts",1281
"des",1274
"environmental",1270
"natural",1246
"energy",1220
"contribution",1199
"world",1192
"marine",1174
"however",1166
"crosschapter",1153
"feedbacks",1152
"may",1143
"greenhouse",1138
"project",1135
"scenario",1130
"europe",1128
"ozone",1120
"cold",1113
"development",1111
"use",1101
"increasing",1098
"mass",1093
"trend",1092
"soil",1090
"emission",1089
"annex",1086
"attribution",1083
"states",1081
"number",1063
"limited",1051
"impact",1044
"well",1041
"spatial",1032
"preindustrial",1028
"longterm",1022
"coastal",1020
"details",1008
"weather",1005
"higher",1004
"robust",1001
"atmosphere",998
"antarctic",996
"observational",996
"internal",995
"wang",993
"sensitivity",992
"sheet",989
"effect",988
"clim",988
"wind",985
"net",985
"multimodel",982
"rate",975
"moisture",975
"significant",974
"shown",974
"heavy",973
"uuuuuu",973
"national",972
"east",963
"lines",959
"rise",952
"hemisphere",951
"feedback",945
"consistent",944
"uau",942
"western",932
"average",932
"aerosols",931
"temperatures",930
"results",927
"agreement",918
"seasonal",914
"two",913
"loss",905
"panel",903
"climatology",899
"zhang",896
"processing",894
"patterns",890
"international",889
"uncertainties",886
"conditions",886
"doi",880
"start",877
"gsat",869
"role",868
"physical",866
"meteorological",864
"analysis",863
"decadal",863
"estimate",861
"climatic",859
"scale",858
"one",855
"simulated",850
"australia",846
"understanding",845
"area",844
"summary",844
"resolution",840
"winter",831
"potential",828
"cloud",817
"uuuuu",817
"found",811
"sciences",810
"sst",810
"glacier",809
"values",807
"part",801
"gas",789
"permafrost",779
"res",779
"erf",778
"scales",777
"hot",774
"concentrations",769
"decades",769
"current",766
"evaluation",766
"periods",764
"species",763
"related",762
"magnitude",762
"multiple",754
"positive",750
"systems",749
"cover",748
"additional",746
"eastern",746
"indicate",743
"budget",742
"chemistry",741
"key",740
"strong",736
"estimated",732
"maximum",729
"risk",728
"storm",728
"satellite",724
"services",717
"given",714
"enso",713
"china",711
"within",702
"greenland",701
"conservation",700
"river",694
"negative",693
"society",692
"lower",690
"uuuu",688
"doijd",687
"datasets",685
"hydrological",685
"american",683
"around",680
"variations",679
"small",678
"ptxw",678
"median",677
"management",675
"sealevel",675
"concentration",673
"important",662
"local",659
"several",655
"responses",653
"least",651
"rxday",651
"decade",650
"present",649
"methane",643
"indian",641
"west",640
"srocc",640
"larger",639
"radiation",639
"ecs",638
"mediterranean",636
"modelling",633
"solar",630
"stratospheric",629
"daily",627
"days",623
"shows",623
"van",620
"polar",619
"droughts",619
"anomalies",618
"coupled",617
"reduction",614
"cordex",611
"physics",611
"oscillation",610
"although",609
"reports",607
"ecosystems",606
"include",606
"biases",606
"state",605
"approach",604
"three",601
"mitigation",601
"methods",601
"pattern",599
"reanalysis",598
"countries",592
"drivers",589
"series",588
"indices",586
"study",585
"records",584
"largescale",583
"gases",583
"index",581
"certain",581
"record",580
"assessments",580
"improved",575
"reference",573
"ranges",573
"signal",573
"warm",572
"less",570
"doijoc",570
"differences",567
"first",564
"respectively",564
"multidecadal",561
"geophys",561
"doiacp",558
"sections",557
"set",556
"scientific",555
"cooling",555
"volcanic",555
"driven",555
"upper",554
"oceans",553
"kingdom",551
"biodiversity",548
"example",547
"earths",547
"code",546
"advances",544
"interannual",544
"terrestrial",542
"dry",540
"environment",538
"overall",537
"flood",535
"value",533
"simulation",532
"black",530
"contributions",529
"chen",528
"policy",527
"extent",527
"evolution",527
"rates",527
"glaciers",527
"dioxide",526
"european",526
"decline",526
"bias",526
"season",525
"individual",525
"specific",523
"representation",515
"atmospheres",515
"sci",514
"expected",512
"lead",511
"similar",508
"members",504
"ucuuu",503
"supplementary",502
"even",501
"intercomparison",501
"result",500
"quality",499
"liu",499
"relevant",498
"txx",498
"virtually",497
"major",496
"changing",496
"eds",495
"provide",494
"material",493
"forcings",492
"sustainable",489
"tropospheric",489
"balance",489
"particularly",488
"represent",488
"intensification",488
"uptake",486
"usa",483
"early",483
"review",480
"doinclimate",480
"particular",478
"seaice",478
"era",477
"tnn",477
"fluxes",476
"transport",475
"products",474
"context",473
"cyclones",473
"jones",470
"defined",470
"event",468
"reduced",468
"cryosphere",468
"support",467
"smith",465
"reported",465
"day",465
"dans",464
"asian",461
"generally",460
"implications",457
"lett",457
"deep",454
"term",454
"clouds",454
"oceanic",453
"along",453
"long",452
"uuuuuuu",452
"detection",451
