from,to,sum,inertia
poverty,hunger,0.0,0.0
poverty,health,0.0,0.0
poverty,education,0.0,0.0
poverty,gender,0.0,0.0
poverty,clean,0.0,0.0
poverty,energy,0.0,0.0
poverty,work,0.0,0.0
poverty,industry,0.0,0.0
poverty,inequalities,0.0,0.0
poverty,cities,0.0,0.0
poverty,consumption,0.0,0.0
poverty,climate,0.0,0.0
poverty,water,0.0,0.0
poverty,land,0.0,0.0
poverty,peace,0.0,0.0
hunger,health,0.0,0.0
hunger,education,0.0,0.0
hunger,gender,0.0,0.0
hunger,clean,0.0,0.0
hunger,energy,0.0,0.0
hunger,work,0.0,0.0
hunger,industry,0.0,0.0
hunger,inequalities,0.0,0.0
hunger,cities,0.0,0.0
hunger,consumption,0.0,0.0
hunger,climate,0.0,0.0
hunger,water,0.0,0.0
hunger,land,0.0,0.0
hunger,peace,0.0,0.0
health,education,8.0,1.5
health,gender,99.0,5.64
health,clean,9.0,2.0
health,energy,18.0,4.0
health,work,73.0,5.51
health,industry,12.0,3.0
health,inequalities,0.0,0.0
health,cities,7.0,0.86
health,consumption,7.0,0.86
health,climate,160.0,5.78
health,water,92.0,5.61
health,land,37.0,5.03
health,peace,7.0,0.86
education,gender,95.0,1.96
education,clean,5.0,1.2
education,energy,14.0,1.71
education,work,69.0,1.94
education,industry,8.0,1.5
education,inequalities,0.0,0.0
education,cities,3.0,0.67
education,consumption,3.0,0.67
education,climate,156.0,1.97
education,water,88.0,1.95
education,land,33.0,1.88
education,peace,3.0,0.67
gender,clean,96.0,2.91
gender,energy,105.0,10.63
gender,work,160.0,38.94
gender,industry,99.0,5.64
gender,inequalities,0.0,0.0
gender,cities,94.0,0.99
gender,consumption,94.0,0.99
gender,climate,247.0,57.98
gender,water,179.0,44.68
gender,land,124.0,23.25
gender,peace,94.0,0.99
clean,energy,15.0,2.4
clean,work,70.0,2.87
clean,industry,9.0,2.0
clean,inequalities,0.0,0.0
clean,cities,4.0,0.75
clean,consumption,4.0,0.75
clean,climate,157.0,2.94
clean,water,89.0,2.9
clean,land,34.0,2.74
clean,peace,4.0,0.75
energy,work,79.0,10.18
energy,industry,18.0,4.0
energy,inequalities,0.0,0.0
energy,cities,13.0,0.92
energy,consumption,13.0,0.92
energy,climate,166.0,11.13
energy,water,98.0,10.53
energy,land,43.0,8.65
energy,peace,13.0,0.92
work,industry,73.0,5.51
work,inequalities,0.0,0.0
work,cities,68.0,0.99
work,consumption,68.0,0.99
work,climate,221.0,46.69
work,water,153.0,37.66
work,land,98.0,21.19
work,peace,68.0,0.99
industry,inequalities,0.0,0.0
industry,cities,7.0,0.86
industry,consumption,7.0,0.86
industry,climate,160.0,5.78
industry,water,92.0,5.61
industry,land,37.0,5.03
industry,peace,7.0,0.86
inequalities,cities,0.0,0.0
inequalities,consumption,0.0,0.0
inequalities,climate,0.0,0.0
inequalities,water,0.0,0.0
inequalities,land,0.0,0.0
inequalities,peace,0.0,0.0
cities,consumption,2.0,0.5
cities,climate,155.0,0.99
cities,water,87.0,0.99
cities,land,32.0,0.97
cities,peace,2.0,0.5
consumption,climate,155.0,0.99
consumption,water,87.0,0.99
consumption,land,32.0,0.97
consumption,peace,2.0,0.5
climate,water,240.0,55.18
climate,land,185.0,25.81
climate,peace,155.0,0.99
water,land,117.0,22.79
water,peace,87.0,0.99
land,peace,32.0,0.97
