from,to,sum,inertia
poverty,hunger,67,12.686567164179104
poverty,health,50,0.0
poverty,education,50,0.0
poverty,gender,50,0.0
poverty,clean,64,10.9375
poverty,energy,50,0.0
poverty,work,50,0.0
poverty,industry,57,6.140350877192983
poverty,inequalities,65,11.538461538461538
poverty,cities,50,0.0
poverty,consumption,50,0.0
poverty,climate,50,0.0
poverty,water,50,0.0
poverty,land,50,0.0
poverty,peace,50,0.0
hunger,health,17,0.0
hunger,education,17,0.0
hunger,gender,17,0.0
hunger,clean,31,7.67741935483871
hunger,energy,17,0.0
hunger,work,17,0.0
hunger,industry,24,4.958333333333333
hunger,inequalities,32,7.96875
hunger,cities,17,0.0
hunger,consumption,17,0.0
hunger,climate,17,0.0
hunger,water,17,0.0
hunger,land,17,0.0
hunger,peace,17,0.0
health,education,0,0.0
health,gender,0,0.0
health,clean,14,0.0
health,energy,0,0.0
health,work,0,0.0
health,industry,7,0.0
health,inequalities,15,0.0
health,cities,0,0.0
health,consumption,0,0.0
health,climate,0,0.0
health,water,0,0.0
health,land,0,0.0
health,peace,0,0.0
education,gender,0,0.0
education,clean,14,0.0
education,energy,0,0.0
education,work,0,0.0
education,industry,7,0.0
education,inequalities,15,0.0
education,cities,0,0.0
education,consumption,0,0.0
education,climate,0,0.0
education,water,0,0.0
education,land,0,0.0
education,peace,0,0.0
gender,clean,14,0.0
gender,energy,0,0.0
gender,work,0,0.0
gender,industry,7,0.0
gender,inequalities,15,0.0
gender,cities,0,0.0
gender,consumption,0,0.0
gender,climate,0,0.0
gender,water,0,0.0
gender,land,0,0.0
gender,peace,0,0.0
clean,energy,14,0.0
clean,work,14,0.0
clean,industry,21,4.666666666666667
clean,inequalities,29,7.241379310344827
clean,cities,14,0.0
clean,consumption,14,0.0
clean,climate,14,0.0
clean,water,14,0.0
clean,land,14,0.0
clean,peace,14,0.0
energy,work,0,0.0
energy,industry,7,0.0
energy,inequalities,15,0.0
energy,cities,0,0.0
energy,consumption,0,0.0
energy,climate,0,0.0
energy,water,0,0.0
energy,land,0,0.0
energy,peace,0,0.0
work,industry,7,0.0
work,inequalities,15,0.0
work,cities,0,0.0
work,consumption,0,0.0
work,climate,0,0.0
work,water,0,0.0
work,land,0,0.0
work,peace,0,0.0
industry,inequalities,22,4.7727272727272725
industry,cities,7,0.0
industry,consumption,7,0.0
industry,climate,7,0.0
industry,water,7,0.0
industry,land,7,0.0
industry,peace,7,0.0
inequalities,cities,15,0.0
inequalities,consumption,15,0.0
inequalities,climate,15,0.0
inequalities,water,15,0.0
inequalities,land,15,0.0
inequalities,peace,15,0.0
cities,consumption,0,0.0
cities,climate,0,0.0
cities,water,0,0.0
cities,land,0,0.0
cities,peace,0,0.0
consumption,climate,0,0.0
consumption,water,0,0.0
consumption,land,0,0.0
consumption,peace,0,0.0
climate,water,0,0.0
climate,land,0,0.0
climate,peace,0,0.0
water,land,0,0.0
water,peace,0,0.0
land,peace,0,0.0
