"weight","ID","CONT"
20,1,"africa"
18,2,"asia"
3,3,"antarctica"
1,4,"australia"
18,5,"europe"
18,6,"america"
NA,7,"north america"
NA,8,"south america"
3,9,"oceania"
22,1,"africa"
16,2,"asia"
1,3,"antarctica"
12,4,"australia"
14,5,"europe"
56,6,"america"
NA,7,"north america"
NA,8,"south america"
NA,9,"oceania"
25,1,"africa"
23,2,"asia"
NA,3,"antarctica"
1,4,"australia"
18,5,"europe"
24,6,"america"
NA,7,"north america"
NA,8,"south america"
9,9,"oceania"
22,1,"africa"
22,2,"asia"
NA,3,"antarctica"
NA,4,"australia"
21,5,"europe"
16,6,"america"
NA,7,"north america"
NA,8,"south america"
7,9,"oceania"
27,1,"africa"
31,2,"asia"
NA,3,"antarctica"
2,4,"australia"
17,5,"europe"
26,6,"america"
NA,7,"north america"
NA,8,"south america"
5,9,"oceania"
NA,1,"africa"
NA,2,"asia"
NA,3,"antarctica"
NA,4,"australia"
NA,5,"europe"
1,6,"america"
NA,7,"north america"
NA,8,"south america"
NA,9,"oceania"
114,1,"africa"
136,2,"asia"
NA,3,"antarctica"
47,4,"australia"
48,5,"europe"
93,6,"america"
NA,7,"north america"
NA,8,"south america"
30,9,"oceania"
1113,1,"africa"
1146,2,"asia"
362,3,"antarctica"
783,4,"australia"
978,5,"europe"
1968,6,"america"
NA,7,"north america"
NA,8,"south america"
2,9,"oceania"
