"weight","ID","CONTR"
8,1,"mexico"
4,2,"india"
4,3,"france"
5,4,"china"
5,5,"russia"
NA,6,"jamaica"
6,7,"madagascar"
NA,8,"columbia"
2,9,"nigeria"
NA,1,"mexico"
3,2,"india"
8,3,"france"
4,4,"china"
4,5,"russia"
1,6,"jamaica"
2,7,"madagascar"
NA,8,"columbia"
NA,9,"nigeria"
18,1,"mexico"
7,2,"india"
4,3,"france"
5,4,"china"
3,5,"russia"
NA,6,"jamaica"
10,7,"madagascar"
NA,8,"columbia"
3,9,"nigeria"
7,1,"mexico"
5,2,"india"
23,3,"france"
6,4,"china"
2,5,"russia"
NA,6,"jamaica"
1,7,"madagascar"
NA,8,"columbia"
NA,9,"nigeria"
7,1,"mexico"
3,2,"india"
8,3,"france"
7,4,"china"
2,5,"russia"
NA,6,"jamaica"
4,7,"madagascar"
NA,8,"columbia"
3,9,"nigeria"
NA,1,"mexico"
NA,2,"india"
NA,3,"france"
NA,4,"china"
NA,5,"russia"
NA,6,"jamaica"
NA,7,"madagascar"
NA,8,"columbia"
NA,9,"nigeria"
2,1,"mexico"
2,2,"india"
NA,3,"france"
2,4,"china"
NA,5,"russia"
NA,6,"jamaica"
NA,7,"madagascar"
NA,8,"columbia"
1,9,"nigeria"
94,1,"mexico"
634,2,"india"
259,3,"france"
682,4,"china"
122,5,"russia"
16,6,"jamaica"
36,7,"madagascar"
20,8,"columbia"
11,9,"nigeria"
