"docid","sentiment","count"
1,"anger",68
1,"anticipation",316
1,"disgust",75
1,"fear",165
1,"joy",195
1,"sadness",59
1,"surprise",62
1,"trust",794
2,"anger",46
2,"anticipation",83
2,"disgust",39
2,"fear",106
2,"joy",61
2,"sadness",51
2,"surprise",60
2,"trust",230
3,"anger",116
3,"anticipation",324
3,"disgust",97
3,"fear",260
3,"joy",182
3,"sadness",95
3,"surprise",95
3,"trust",894
4,"anger",79
4,"anticipation",342
4,"disgust",51
4,"fear",190
4,"joy",225
4,"sadness",68
4,"surprise",67
4,"trust",975
5,"anger",85
5,"anticipation",358
5,"disgust",60
5,"fear",224
5,"joy",227
5,"sadness",86
5,"surprise",76
5,"trust",1035
7,"anger",57
7,"anticipation",0
7,"disgust",0
7,"fear",0
7,"joy",0
7,"sadness",0
7,"surprise",0
7,"trust",3
8,"anger",255
8,"anticipation",506
8,"disgust",175
8,"fear",463
8,"joy",349
8,"sadness",407
8,"surprise",138
8,"trust",732
9,"anger",68
9,"anticipation",316
9,"disgust",75
9,"fear",165
9,"joy",195
9,"sadness",59
9,"surprise",62
9,"trust",794
10,"anger",2
10,"anticipation",7
10,"disgust",5
10,"fear",6
10,"joy",4
10,"sadness",2
10,"surprise",10
10,"trust",19
