"docid","word","freq"
1,"conservation",150
1,"climate",131
1,"will",112
1,"areas",110
1,"world",101
1,"biodiversity",98
1,"species",90
1,"global",82
1,"protected",82
1,"report",73
1,"new",68
1,"work",62
1,"national",61
1,"nature",60
1,"natural",60
1,"congress",57
1,"management",57
1,"sustainable",57
1,"heritage",56
1,"development",56
2,"global",217
2,"emissions",190
2,"confidence",183
2,"ssp",177
2,"box",175
2,"warming",173
2,"high",155
2,"spm",139
2,"climate",131
2,"changes",119
2,"likely",107
2,"temperature",98
2,"regions",89
2,"atlas",83
2,"surface",82
2,"scenarios",77
2,"land",73
2,"observed",72
2,"increase",70
2,"medium",70
3,"climate",154
3,"areas",132
3,"world",130
3,"global",126
3,"conservation",124
3,"protected",113
3,"species",108
3,"will",105
3,"environmental",99
3,"heritage",98
3,"marine",94
3,"gender",93
3,"biodiversity",89
3,"water",86
3,"governance",83
3,"policy",79
3,"members",78
3,"risk",75
3,"report",74
3,"iucns",74
4,"world",160
4,"conservation",157
4,"global",135
4,"areas",120
4,"climate",120
4,"species",115
4,"biodiversity",106
4,"will",105
4,"protected",102
4,"water",96
4,"development",96
4,"heritage",93
4,"governance",90
4,"gender",89
4,"environmental",88
4,"members",87
4,"policy",84
4,"marine",80
4,"report",75
4,"nature",71
5,"conservation",221
5,"world",176
5,"global",168
5,"climate",153
5,"areas",131
5,"species",130
5,"iucns",129
5,"biodiversity",122
5,"protected",118
5,"heritage",111
5,"environmental",99
5,"governance",97
5,"will",97
5,"development",93
5,"ecosystems",90
5,"policy",90
5,"members",87
5,"regional",87
5,"water",87
5,"marine",86
7,"uuu",1762
7,"ubuaucuc",1510
7,"uuuuuu",973
7,"uau",940
7,"uuuuu",816
7,"uuuu",688
7,"ucuuu",503
7,"uuuuuuu",452
7,"ucuau",350
7,"uuuuuuua",280
7,"uaucuc",222
7,"uuuuau",211
7,"uuuuuuau",207
7,"uuuua",204
7,"ubua",199
7,"uuuuufuu",195
7,"ucuu",194
7,"uuua",192
7,"ubuuu",192
7,"uauuu",183
8,"per",389
8,"cent",332
8,"countries",314
8,"data",186
8,"pandemic",167
8,"global",162
8,"covid",152
8,"asia",136
8,"sustainable",123
8,"million",117
8,"africa",114
8,"people",113
8,"development",108
8,"world",102
8,"health",98
8,"women",97
8,"america",93
8,"new",85
8,"northern",85
8,"progress",84
9,"climate",17802
9,"global",9365
9,"changes",7323
9,"cmip",7005
9,"confidence",6954
9,"warming",6624
9,"models",6261
9,"precipitation",5866
9,"model",5852
9,"temperature",5615
9,"ocean",5596
9,"ipcc",4971
9,"high",4564
9,"data",4486
9,"wgi",4390
9,"surface",4349
9,"increase",4281
9,"distribution",4221
9,"variability",4123
9,"section",4105
10,"climate",12
10,"global",12
10,"changes",11
10,"warming",11
10,"emissions",10
10,"gas",5
10,"greenhouse",5
10,"ocean",5
10,"scenarios",5
10,"reductions",4
10,"system",4
10,"ssp",4
10,"assessment",3
10,"atmosphere",3
10,"extremes",3
10,"future",3
10,"ice",3
10,"increasing",3
10,"precipitation",3
10,"projected",3
