ID,TITLE,FILENAME,ORGID,PAGES,DATE,LANG
1,ANNUAL REPORT 2016,2017-001-v.1-En.pdf,5,52,2017,English
2,ANNUAL REPORT 2017,2018-007-En.pdf,5,52,2018,English
3,ANNUAL REPORT 2018,2019-007-En.pdf,5,52,2019,English
4,ANNUAL REPORT 2019,2020-025-En.pdf,5,52,2020,English
5,?????? ?????? ???????? ??????????,The-Sustainable-Development-Goals-Report-2021_Arabic.pdf,2,68,2021,Arabic
6,Rapport sur les objectifs de développement durable,The-Sustainable-Development-Goals-Report-2021_French.pdf,2,68,2021,French
7,The Sustainable Development Goals Report,The-Sustainable-Development-Goals-Report-2021_English.pdf,2,68,2021,English
8,Climate Change 2021 The Physical Science Basis,IPCC_AR6_WGI_Full_Report.pdf,4,3949,2021,English
9,Headline Statements from the Summary for Policymakers,IPCC_AR6_WGI_Headline_Statements.pdf,4,2,2021,English
10,Climate Change 2021 The Physical Science Basis Summary for Policymakers,IPCC_AR6_WGI_SPM_final.pdf,4,40,2021,English
